NO,논문ID,논문명,논문 외국어명,저자,공동저자,학술지 명,학술지 외국어 명,발행기관 명,발행기관 외국어 명,등재 구분,발행년,권(호),페이지,논문번호,키워드(한국어),키워드(외국어),주제분야,피인용횟수,URL,DOI
75,ART001747731,상호작용 공간 모달리티의 건축기호적 특징,The Archi-Semiotic Characteristics of Spatial Modality in Interactive Space,서준호(계원예술대학교),,한국실내디자인학회 논문집,KOREAN INSTITUTE OF INTERIOR DESIGN JOURNAL,한국실내디자인학회,Korean Institute Of Interior Design,등재,201302,22(1),pp.75~84,,"공간 모달리티, 정보·형태화, 상호작용 공간, 건축기호, 시몽동","Spatial modality, Information, Interactive space, Archi-semiotic, Gilbert Simondon",디자인,4,,
76,ART002585822,공진화를 위한 기술화된 몸이론의 가능성,A Theory of Body in Technology for Coevolution,이지용(건국대학교 몸문화연구소),최일규(건국대학교),아시아문화연구,,아시아문화연구소,Asian Cultural Studies Research Institute,등재,202004,52(),pp.65~95,,"몸, 기술, 인간, 소외, 공진화, 돈 아이디, 시몽동, 기술화된 몸","body, technology, human, alienate, co-evolution, Don Ihde, Gibert Simondon, Body in Technology",기타인문학,4,,
77,ART001561327,물질과 생성: 질베르 시몽동의 개체화론을 중심으로,Matter and Becoming in Gilbert Simondon’s Theory of Individuation,김재희(성균관대학교),,철학연구,Journal of The Society of philosophical studies,철학연구회,The Society Of Philosophical Studies,등재,201106,(93),pp.231~260,,"생성, 개체화, 준안정성, 퍼텐셜 에너지, 불일치, 관계, 정보, 변환","Becoming, Individuation, Metastability, Potential energy, Disparation, Relation, Information, Transduction",철학,19,,
78,ART002621579,하이데거의 기술철학에 대한 비판적 고찰 - STS와 ANT의 관점에서,Kritische Betrachtungen über Heideggers Philosophie der Technik - Unter den Aspekten von STS und ANT,안미현(목포대학교),,독일언어문학,Zeitschrift f？r Deutsche Sprache und Literatur,한국독일어문학회,Koreanische Gesellschaft fuer Deutsche Sprache Und Literatur,등재,202008,(89),pp.73~96,,"기술철학, 하이데거, 시몽동, 라투르, 위너","Philosophie der Technik, Heidegger, Simondon, Latour, Winner",독일어와문학,2,,
79,ART002378245,인간과 비인간 존재는 어떻게 만나는가?,How does Man and Non-human beings meet?,심귀연(경상대학교),,철학연구,"Philosophia , Journal of Korean Philosophical Society",대한철학회,Korean Philosophical Society,등재,201808,147(),pp.239~260,,"인간, 비인간존재, 메를로-퐁티, 기술, 인공지능","Human, Non-human beings, Merleau-Ponty, Technology, A.I",철학,8,,http://dx.doi.org/10.20293/jokps.2018.​147.239
80,ART002736583,포스트휴먼 테크놀로지,Posthuman Technology,홍성욱(서울대학교),,人文學硏究,Study of Humanities,인문학연구소,Humanities Research Institute,등재,202106,35(),pp.3~35,,"포스트휴머니즘, 기술, 포스트휴먼 테크놀로지, 기술과 인간의 공진화, 비인간 행위성, 기술적 매개, 마틴 하이데거, 도나 해러웨이, 질베르 시몽동, 브뤼노 라투르, 베르나르 스티글러, 효돌, 리얼돌","posthumanism, technology, posthuman technology, co-evolution of humans and technology, nonhuman agency, technical mediation, Martin Heidegger, Donna Haraway, Gilbert Simondon, Bruno Latour, Hyodol, real doll",기타인문학,17,,https://doi.org/10.31323/SH.2021.06.35.01
81,ART002797519,기술교육에 관한 기술철학적 고찰,Technological Philosophy on Technology Education,임미가(충남대학교 교육혁신센터),,한국실과교육학회지,Journal of Korean Practical Arts Education,한국실과교육학회,,등재,202112,34(4),pp.121~140,,"기술교육, 기술철학, 실과교육, 하이데거, 시몽동","technology education, technology philosophy, practical arts, Heidegger, Simondon",교육학,1,http://dx.doi.org/10.24062/kpae.2021.34.4.121,http://dx.doi.org/10.24062/kpae.2021.34.4.121
82,ART001786347,"인간과 자연, 그리고 기술의 상호창조를 위한 시론 - 관계론적 관점에서 본 유기농테마파크 비전과 전략 -","An Essay on Mutual Creation Among Human, the Nature, and the Technology: The Vision and Strategy of Organic Theme Park in the Aspect of Relationship",심승구(한국체육대학교),,인문콘텐츠,Humanities Contents,인문콘텐츠학회,Korea Humanities Content Society,등재,201306,(29),pp.189~218,,"유기농, 유기농 테마파크, 인간ㆍ자연ㆍ기술의 상호창조, 기술철학, 생태철학, 청색기술, 청색경제, 적정기술, 질베르 시몽동, 생태모방기술","Gilbert Simondon, Techno-philosophical thought, Mutual creation, Organic theme park, Blue Technology, Biomimicry, Biomimetics, Techno-philosophy, Ecology mutually.",기타인문학,1,,
83,ART002692079,질베르 시몽동의 ‘개체화 이론’으로 바라본 현대건축에서의 형태생성 특성 연구,A Study on Characteristics of Formation in Contemporary Architecture through ‘Individuation Theory’ by Gilbert Simondon,강두원(홍익대학교 대학원 건축공학과),김동진(홍익대학교),한국실내디자인학회 논문집,KOREAN INSTITUTE OF INTERIOR DESIGN JOURNAL,한국실내디자인학회,Korean Institute Of Interior Design,등재,202102,30(1),pp.63~73,,"질베르 시몽동, 개체화, 정보·형태화, 형태생성, 상호작용","Gilbert Simondon, Individuation, Information, Formation, Interaction",디자인,2,,
84,ART001986959,<그녀>에 나타난 인간과 기계의 공진화,The Coevolution of Human and Machine in Her,주기화(건국대학교),,영미문학교육,The Journal of Teaching English Literature,한국영미문학교육학회,The Korean Society For Teaching English Literature,등재,201504,19(1),pp.143~165,,"<그녀>, 인간-기계 공진화, 포스트휴먼, 질베르 시몽동, 행위자-연결망이론(ANT)","Her, Human-Machine coevolution, posthuman, Gilbert Simondon, Actor-Network-Theory(ANT)",영어와문학,0,,
